account_id,trustline_status,balance,traded_in,trades_total,trades_as_base,trades_as_counter,snapshot_min_ledger,snapshot_max_ledger,methodology_version
GAXL77JO7PKJ6IVO3LVZEYTMRN2ZG5A5N7ZQXLCR2RORTAKE4NAJQBAX,no trustline at pull,,2026-08,1,1,0,64211133,64211152,1.0.5-draft
GAXZXUBAWZ6MFQCDUJ66JZGSFUG4UXL5MXXPJJ4LSX44T5A5JQPBZQP5,no trustline at pull,,2026-02 + 2026-08,4,4,0,64211133,64211152,1.0.5-draft
GAY2KTP5NBJ2T6X5T2V7QWMXNUSAG7GTEESJDGEEBW4GAYXHVB7H4JGM,no trustline at pull,,2026-02,1,1,0,64211133,64211152,1.0.5-draft
GAYCZUWLNSNGP6V7AOMKFHTXTYJHQVPDRH6PLFFMI542NQ6QDBNO6J3U,no trustline at pull,,2026-08,1,1,0,64211133,64211152,1.0.5-draft
GAYHC7JEABJ7IF4HFTJU73XJLFJCCYT77ZGPVHOYPXPLVMYRAFIYHPVF,no trustline at pull,,2026-02,3,2,1,64211133,64211152,1.0.5-draft
GAYNJLJI63HFXQHVNGOHVLQKB2NIYVDAIG3AE46FNSUXZ45PGFBLJ3ZT,no trustline at pull,,2026-02,1,1,0,64211133,64211152,1.0.5-draft
GAZJEF6WLJQNBKSTW5LWUUK6J3FRTT56RWVZ37YOLJI65SVULQ4K5TD7,no trustline at pull,,2026-02,4,4,0,64211133,64211152,1.0.5-draft
GAZK2UONQVX4AVELYTGQOHA7FDJXA7D26EF6YF57CRTNX5K7P3F2WUGI,holds a non-zero balance,8.7964428,2026-08,4,4,0,64211133,64211152,1.0.5-draft
GAZRGNL3X2ZMRVITJZUC5ZVSN6G23Y5OVZCMO6E7BTUJTPK4MYPHU5TV,no trustline at pull,,2026-02 + 2026-08,12,8,4,64211133,64211152,1.0.5-draft
GAZU7YIGKY76UFAQ5YO76AHNCMJCUD62C7LXRMQUUUNYXU5ENZRFMGPY,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GAZZFPITATFABJ2NRI56BD2WJYRXLQU7FKRKWJGN7MH7SZ4VBKE6YZK5,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GB2IXNYZTTOFPTPGYXVA44XXTGCTTLQS7DO5JU2NQONVSHFRXXOE7P6J,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GB32UI3LA2EDHJVKCLWIZY7LWRT5S6ZHWCQSCT6PW3AYM7J62AQ7TCNK,no trustline at pull,,2026-08,2,1,1,64211133,64211152,1.0.5-draft
GB34SB4GTDPWPZ3D6TKBPN5YFWVVOMI6Y2SRWKVNPF5QRUPRCUBJQ7LW,no trustline at pull,,2026-08,1,1,0,64211133,64211152,1.0.5-draft
GB37DH4CM64RFUJ4LVNGTECDITMYELOBFUW7CR36644JZMFYZA3UBHQW,no trustline at pull,,2026-02,7379,3689,3690,64211133,64211152,1.0.5-draft
GB3JCHJUP6HHZJLN5LKQDRFP2HWSLNXYE2TGWDGBTNXIW6MLVRQXNDBC,"trustline open, zero balance",0.0000000,2026-02 + 2026-08,142,62,80,64211133,64211152,1.0.5-draft
GB3LKXDV7MKIJ7YTCFBVGPMGH3CTXMR4DESXS2XUM6FH32HR6NCYOXCC,no trustline at pull,,2026-08,344,185,159,64211133,64211152,1.0.5-draft
GB4CL3MO742BEQJILCSBQ4J5A4GRSZKC3CATLJRW2NFYW7UKC4DZMUL5,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GB533ELYALMMI4YYCUS32375NX4M67YTIZI5JCP4DKJ3Z6MYVSDMJPU6,no trustline at pull,,2026-02,1,1,0,64211133,64211152,1.0.5-draft
GB5LKM5LLKQHL5YBDQK27AMZPVBX2IHVIVGKLOAZBVHHZMTLZHXCUAVU,no trustline at pull,,2026-02,2,2,0,64211133,64211152,1.0.5-draft
GB5QL5NPTFKIOJYIWFY7D66RJQZFCI3I2C6J2XIBLVBY6RNLA4HB5OCR,no trustline at pull,,2026-08,2,2,0,64211133,64211152,1.0.5-draft
GB5RBKB44BIKSBM6EDU3VPCKYLMG6AUMSAUYFXNEY2D35DNNDS4TNB2Y,no trustline at pull,,2026-02,10,8,2,64211133,64211152,1.0.5-draft
GB5XN6MJZKLLMKWSNO5QOKKNEU264J2GM6MBKAYEPPZWIUQ5OCQC2VJI,no trustline at pull,,2026-02 + 2026-08,29,10,19,64211133,64211152,1.0.5-draft
GB5YRXL7HPQ53G4C77KWSF7LQUZPRZTRGPC47JRWJGX3L6BWEEIOLGKD,no trustline at pull,,2026-08,1,0,1,64211133,64211152,1.0.5-draft
GB5Z6SOGDDWNKN74MGMB2JXIU4EVKO64NRQSY5OADVCLTSWA5UPHW6Q7,no trustline at pull,,2026-08,1,1,0,64211133,64211152,1.0.5-draft
GB6YM6S6NW5UDYQASFDFXHCIVLY7BEPRLYVUBXWME6K7YZKKA4VE2Q7C,no trustline at pull,,2026-02,27,15,12,64211133,64211152,1.0.5-draft
GB76OPKFMAYOITZHML3ZLGC6MQMVESBOM6WELSYED5ZO63VYJ3HEETRM,no trustline at pull,,2026-02 + 2026-08,13,7,6,64211133,64211152,1.0.5-draft
