counter,id,ledger_close_time,base_amount,counter_amount,base_is_seller,price_n,price_d,trade_type
PYUSD:GDQE7IXJ4HUHV6RQHIUPRJSEZE4DRS5WY577O2FY6YQ5LVWZ7JZTU2V5,276222261772996609-1,2026-09-07T07:33:42Z,0.0016717,0.0018961,False,18961,16717,liquidity_pool
Pepe:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276237345698414593-1,2026-09-07T12:59:39Z,0.0017020,0.0084675,False,84675,17020,liquidity_pool
Pepe:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276236830302117889-1,2026-09-07T12:48:27Z,0.0016907,0.0084404,False,84404,16907,liquidity_pool
Pepe:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276235928359428097-1,2026-09-07T12:28:57Z,0.0016884,0.0084579,False,84579,16884,liquidity_pool
Pepe:GBVYKIM4QGW7NK3Q5S76GWMZMLAWYB6FB43JQ4J7ZOXHAA3LEZZGYHSD,276235395782443009-1,2026-09-07T12:17:22Z,0.0010582,0.0053158,False,53158,10582,liquidity_pool
RUV:GBJGR7HDC4QPCZ6SA5VBH73V7L5SSZ5GAS6US23PFSGV4SQXJLYGERYX,276277198699728897-1,2026-09-08T03:24:23Z,0.0099047,5.1457609,True,51457609,99047,liquidity_pool
RUV:GBJGR7HDC4QPCZ6SA5VBH73V7L5SSZ5GAS6US23PFSGV4SQXJLYGERYX,276263222875766785-1,2026-09-07T22:21:38Z,0.0093999,4.8536458,False,48536458,93999,liquidity_pool
RUV:GBJGR7HDC4QPCZ6SA5VBH73V7L5SSZ5GAS6US23PFSGV4SQXJLYGERYX,276247202647859201-2,2026-09-07T16:33:35Z,0.0101781,5.2860915,True,52860915,101781,liquidity_pool
RUV:GBJGR7HDC4QPCZ6SA5VBH73V7L5SSZ5GAS6US23PFSGV4SQXJLYGERYX,276237264093757441-1,2026-09-07T12:57:53Z,0.0130723,6.7532867,False,67532867,130723,liquidity_pool
SBB:GCJJT5KK5AHQOZ2P33AO2G36KJVTHSACOR3I7U4UISKDC6TMZ2BIRFSD,276277069850218497-2,2026-09-08T03:21:35Z,0.0098016,1425.7175221,True,14257175221,98016,liquidity_pool
SBB:GCJJT5KK5AHQOZ2P33AO2G36KJVTHSACOR3I7U4UISKDC6TMZ2BIRFSD,276263141271605249-1,2026-09-07T22:19:52Z,0.0028972,418.3703655,False,4183703655,28972,liquidity_pool
