open_at,close_at,open_ledger,close_ledger,seconds
2026-02-08T06:12:48Z,2026-02-08T06:13:16Z,61135848,61135853,28.0
2026-02-08T07:12:49Z,2026-02-08T07:13:18Z,61136486,61136491,29.0
2026-02-08T08:12:46Z,2026-02-08T08:13:15Z,61137121,61137126,29.0
2026-02-08T09:12:46Z,2026-02-08T09:13:15Z,61137753,61137758,29.0
2026-02-08T10:12:47Z,2026-02-08T10:13:15Z,61138378,61138383,28.0
2026-02-08T11:12:44Z,2026-02-08T11:13:18Z,61139007,61139013,34.0
2026-02-08T12:12:49Z,2026-02-08T12:13:18Z,61139638,61139643,29.0
2026-02-08T13:12:48Z,2026-02-08T13:13:17Z,61140267,61140272,29.0
2026-02-08T14:12:47Z,2026-02-08T14:13:15Z,61140898,61140903,28.0
2026-02-08T15:12:48Z,2026-02-08T15:13:18Z,61141521,61141526,30.0
2026-02-08T16:12:49Z,2026-02-08T16:13:20Z,61142144,61142149,31.0
2026-02-08T17:12:50Z,2026-02-08T17:13:14Z,61142772,61142776,24.0
2026-02-08T18:12:45Z,2026-02-08T18:13:14Z,61143396,61143401,29.0
2026-02-08T19:12:49Z,2026-02-08T19:13:17Z,61144021,61144026,28.0
2026-02-08T20:12:45Z,2026-02-08T20:13:15Z,61144642,61144647,30.0
2026-02-08T21:12:49Z,2026-02-08T21:13:18Z,61145267,61145272,29.0
2026-02-08T22:12:47Z,2026-02-08T22:13:17Z,61145889,61145894,30.0
2026-02-08T23:12:44Z,2026-02-08T23:13:18Z,61146505,61146511,34.0
2026-02-09T00:12:49Z,2026-02-09T00:13:18Z,61147126,61147131,29.0
2026-02-09T01:12:44Z,2026-02-09T01:13:19Z,61147752,61147758,35.0
2026-02-09T02:12:46Z,2026-02-09T02:13:16Z,61148376,61148381,30.0
2026-02-09T03:12:50Z,2026-02-09T03:13:14Z,61149002,61149006,24.0
2026-02-09T04:12:48Z,2026-02-09T04:13:16Z,61149626,61149631,28.0
2026-02-09T05:12:48Z,2026-02-09T05:13:18Z,61150249,61150254,30.0
2026-02-09T06:12:47Z,2026-02-09T06:13:17Z,61150874,61150879,30.0
2026-02-09T07:12:47Z,2026-02-09T07:13:16Z,61151498,61151503,29.0
2026-02-09T08:12:45Z,2026-02-09T08:13:18Z,61152127,61152133,33.0
2026-02-09T09:12:49Z,2026-02-09T09:13:17Z,61152753,61152758,28.0
2026-02-09T10:12:44Z,2026-02-09T10:13:15Z,61153374,61153379,31.0
2026-02-09T11:12:47Z,2026-02-09T11:13:17Z,61153998,61154003,30.0
2026-02-09T12:12:47Z,2026-02-09T12:13:18Z,61154623,61154628,31.0
2026-02-09T13:12:46Z,2026-02-09T13:13:15Z,61155246,61155251,29.0
2026-02-09T14:12:47Z,2026-02-09T14:13:16Z,61155866,61155871,29.0
2026-02-09T15:12:48Z,2026-02-09T15:13:18Z,61156481,61156486,30.0
2026-02-09T16:12:44Z,2026-02-09T16:13:18Z,61157091,61157097,34.0
2026-02-09T17:12:46Z,2026-02-09T17:13:14Z,61157700,61157705,28.0
2026-02-09T18:12:50Z,2026-02-09T18:13:19Z,61158319,61158324,29.0
2026-02-09T19:12:47Z,2026-02-09T19:13:17Z,61158936,61158941,30.0
2026-02-09T20:12:47Z,2026-02-09T20:13:20Z,61159551,61159557,33.0
2026-02-09T21:12:44Z,2026-02-09T21:13:18Z,61160174,61160180,34.0
2026-02-09T22:12:45Z,2026-02-09T22:13:14Z,61160792,61160797,29.0
2026-02-09T23:12:44Z,2026-02-09T23:13:14Z,61161416,61161421,30.0
2026-02-10T00:12:47Z,2026-02-10T00:13:17Z,61162042,61162047,30.0
2026-02-10T01:12:44Z,2026-02-10T01:13:19Z,61162666,61162672,35.0
2026-02-10T02:12:45Z,2026-02-10T02:13:18Z,61163295,61163301,33.0
2026-02-10T03:12:45Z,2026-02-10T03:13:15Z,61163920,61163925,30.0
2026-02-10T04:12:44Z,2026-02-10T04:13:19Z,61164543,61164549,35.0
2026-02-10T05:12:45Z,2026-02-10T05:13:19Z,61165164,61165170,34.0
2026-02-10T06:12:49Z,2026-02-10T06:13:17Z,61165789,61165794,28.0
2026-02-10T07:12:45Z,2026-02-10T07:13:14Z,61166412,61166417,29.0
2026-02-10T08:12:44Z,2026-02-10T08:13:14Z,61167038,61167043,30.0
2026-02-10T09:12:47Z,2026-02-10T09:13:16Z,61167663,61167668,29.0
2026-02-10T10:12:45Z,2026-02-10T10:13:14Z,61168288,61168293,29.0
2026-02-10T11:12:45Z,2026-02-10T11:13:19Z,61168907,61168913,34.0
2026-02-10T12:12:44Z,2026-02-10T12:13:15Z,61169527,61169532,31.0
